#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2018-01-01 00:00:00+00:00 2018-01-04 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,feel,metar
FZY,2018-01-01 00:05,-76.3847,43.3497,M,M,M,350.00,7.00,M,30.35,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KFZY 010005Z AUTO 35007KT 10SM CLR M14/M18 A3035 RMK T11401180 MADISHF
ROC,2018-01-01 00:05,-77.6767,43.1167,M,M,M,260.00,6.00,M,30.38,M,2.00,M,OVC,M,M,M,1500.00,M,M,M,-SN BR,M,M,M,M,KROC 010005Z AUTO 26006KT 2SM -SN BR OVC015 M15/M17 A3038 RMK T11501170 MADISHF
BUF,2018-01-01 00:10,-78.7358,42.9408,M,M,M,260.00,5.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010010Z AUTO 26005KT 10SM CLR M16/M18 A3039 RMK T11601180 MADISHF
IAG,2018-01-01 00:10,-78.9462,43.1073,M,M,M,250.00,6.00,M,30.40,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,KIAG 010010Z AUTO 25006KT 10SM OVC042 M16/M20 A3040 RMK T11601200 MADISHF
DKK,2018-01-01 00:10,-79.2720,42.4933,M,M,M,330.00,9.00,M,30.40,M,10.00,M,SCT,BKN,OVC,M,2800.00,3399.00,5000.00,M,M,M,M,M,M,KDKK 010010Z AUTO 33009KT 10SM SCT028 BKN033 OVC050 M12/M17 A3040 RMK T11201170 MADISHF
ART,2018-01-01 00:10,-76.0262,43.9888,M,M,M,0.00,0.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010010Z AUTO 00000KT 10SM CLR M30/M31 A3039 RMK T13001310 MADISHF
DSV,2018-01-01 00:10,-77.7130,42.5709,M,M,M,140.00,3.00,M,30.38,M,10.00,M,BKN,M,M,M,3999.00,M,M,M,M,M,M,M,M,KDSV 010010Z AUTO 14003KT 10SM BKN039 M17/M20 A3038 RMK T11701200 MADISHF
ROC,2018-01-01 00:10,-77.6767,43.1167,M,M,M,270.00,7.00,M,30.38,M,2.00,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,M,KROC 010010Z AUTO 27007KT 2SM -SN BR OVC013 M15/M17 A3038 RMK T11501170 MADISHF
ROC,2018-01-01 00:11,-77.6767,43.1167,5.00,1.90,86.68,270.00,7.00,T,30.38,M,1.50,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,-8.13,KROC 010011Z 27007KT 1 1/2SM -SN BR OVC013 M15/M17 A3038 RMK AO2 SFC VIS 2 P0000 T11501167 $
DKK,2018-01-01 00:13,-79.2720,42.4933,10.90,1.90,66.41,330.00,9.00,0.00,30.40,M,10.00,M,SCT,BKN,OVC,M,2600.00,3800.00,5000.00,M,M,M,M,M,-2.72,KDKK 010013Z AUTO 33009KT 10SM SCT026 BKN038 OVC050 M12/M17 A3040 RMK AO2 T11171167
FZY,2018-01-01 00:15,-76.3847,43.3497,M,M,M,360.00,6.00,M,30.35,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KFZY 010015Z AUTO 36006KT 10SM CLR M15/M19 A3035 RMK T11501190 MADISHF
DSV,2018-01-01 00:15,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,BKN,M,M,M,3999.00,M,M,M,M,M,M,M,M,KDSV 010015Z AUTO 00000KT 10SM BKN039 M17/M20 A3038 RMK T11701200 MADISHF
ROC,2018-01-01 00:15,-77.6767,43.1167,M,M,M,270.00,7.00,M,30.39,M,1.50,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,M,KROC 010015Z AUTO 27007KT 1 1/2SM -SN BR OVC013 M15/M17 A3039 RMK T11501170 MADISHF
DKK,2018-01-01 00:15,-79.2720,42.4933,M,M,M,330.00,9.00,M,30.40,M,10.00,M,SCT,BKN,OVC,M,2600.00,3200.00,5000.00,M,M,M,M,M,M,KDKK 010015Z AUTO 33009KT 10SM SCT026 BKN032 OVC050 M12/M17 A3040 RMK T11201170 MADISHF
ART,2018-01-01 00:15,-76.0262,43.9888,M,M,M,110.00,3.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010015Z AUTO 11003KT 10SM CLR A3039 RMK MADISHF
BUF,2018-01-01 00:15,-78.7358,42.9408,M,M,M,260.00,5.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010015Z AUTO 26005KT 10SM CLR M16/M19 A3039 RMK T11601190 MADISHF
IAG,2018-01-01 00:15,-78.9462,43.1073,M,M,M,250.00,6.00,M,30.40,M,10.00,M,SCT,OVC,M,M,3500.00,4400.00,M,M,M,M,M,M,M,KIAG 010015Z AUTO 25006KT 10SM SCT035 OVC044 M16/M20 A3040 RMK T11601200 MADISHF
FZY,2018-01-01 00:20,-76.3847,43.3497,M,M,M,60.00,3.00,M,30.35,M,8.00,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,M,KFZY 010020Z AUTO 06003KT 8SM FEW012 M16/M19 A3035 RMK T11601190 MADISHF
IAG,2018-01-01 00:20,-78.9462,43.1073,M,M,M,240.00,6.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3500.00,4400.00,M,M,M,M,M,M,M,KIAG 010020Z AUTO 24006KT 10SM BKN035 OVC044 M16/M21 A3040 RMK T11601210 MADISHF
ROC,2018-01-01 00:20,-77.6767,43.1167,M,M,M,270.00,6.00,M,30.39,M,1.50,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,M,KROC 010020Z AUTO 27006KT 1 1/2SM -SN BR OVC013 M15/M17 A3039 RMK T11501170 MADISHF
BUF,2018-01-01 00:20,-78.7358,42.9408,M,M,M,250.00,5.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010020Z AUTO 25005KT 10SM CLR M16/M19 A3039 RMK T11601190 MADISHF
DSV,2018-01-01 00:20,-77.7130,42.5709,M,M,M,140.00,3.00,M,30.38,M,10.00,M,BKN,M,M,M,4200.00,M,M,M,M,M,M,M,M,KDSV 010020Z AUTO 14003KT 10SM BKN042 M18/M20 A3038 RMK T11801200 MADISHF
DKK,2018-01-01 00:20,-79.2720,42.4933,M,M,M,320.00,9.00,M,30.40,M,10.00,M,BKN,BKN,OVC,M,2600.00,3399.00,5000.00,M,M,M,M,M,M,KDKK 010020Z AUTO 32009KT 10SM BKN026 BKN033 OVC050 M12/M17 A3040 RMK T11201170 MADISHF
ART,2018-01-01 00:20,-76.0262,43.9888,M,M,M,90.00,3.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010020Z AUTO 09003KT 10SM CLR A3039 RMK MADISHF
FZY,2018-01-01 00:25,-76.3847,43.3497,M,M,M,70.00,4.00,M,30.36,M,6.00,M,BKN,M,M,M,1400.00,M,M,M,-SN,M,M,M,M,KFZY 010025Z AUTO 07004KT 6SM -SN BKN014 M17/M19 A3036 RMK T11701190 MADISHF
BUF,2018-01-01 00:25,-78.7358,42.9408,M,M,M,250.00,5.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KBUF 010025Z AUTO 25005KT 10SM CLR M16/M19 A3039 RMK T11601190 MADISHF
IAG,2018-01-01 00:25,-78.9462,43.1073,M,M,M,240.00,6.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3500.00,4400.00,M,M,M,M,M,M,M,KIAG 010025Z AUTO 24006KT 10SM BKN035 OVC044 M16/M21 A3040 RMK T11601210 MADISHF
DSV,2018-01-01 00:25,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,BKN,M,M,M,4200.00,M,M,M,M,M,M,M,M,KDSV 010025Z AUTO 00000KT 10SM BKN042 M17/M20 A3038 RMK T11701200 MADISHF
DKK,2018-01-01 00:25,-79.2720,42.4933,M,M,M,320.00,11.00,M,30.40,M,10.00,M,BKN,BKN,OVC,M,2700.00,3399.00,4900.00,M,M,M,M,M,M,KDKK 010025Z AUTO 32011KT 10SM BKN027 BKN033 OVC049 M12/M17 A3040 RMK T11201170 MADISHF
ROC,2018-01-01 00:25,-77.6767,43.1167,M,M,M,270.00,6.00,M,30.39,M,1.50,M,OVC,M,M,M,1300.00,M,M,M,-SN BR,M,M,M,M,KROC 010025Z AUTO 27006KT 1 1/2SM -SN BR OVC013 M14/M17 A3039 RMK T11401170 MADISHF
DKK,2018-01-01 00:28,-79.2720,42.4933,10.90,1.90,66.41,320.00,9.00,0.00,30.40,M,10.00,M,BKN,BKN,OVC,M,2900.00,4300.00,4900.00,M,M,M,M,M,-2.72,KDKK 010028Z AUTO 32009KT 10SM BKN029 BKN043 OVC049 M12/M17 A3040 RMK AO2 T11171167
IAG,2018-01-01 00:30,-78.9462,43.1073,M,M,M,250.00,8.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3500.00,4600.00,M,M,M,M,M,M,M,KIAG 010030Z AUTO 25008KT 10SM BKN035 OVC046 M15/M20 A3040 RMK T11501200 MADISHF
DKK,2018-01-01 00:30,-79.2720,42.4933,M,M,M,320.00,7.00,M,30.40,M,10.00,M,BKN,BKN,OVC,M,2900.00,3399.00,4900.00,M,M,M,M,M,M,KDKK 010030Z AUTO 32007KT 10SM BKN029 BKN033 OVC049 M12/M17 A3040 RMK T11201170 MADISHF
FZY,2018-01-01 00:30,-76.3847,43.3497,M,M,M,90.00,3.00,M,30.36,M,5.00,M,BKN,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KFZY 010030Z AUTO 09003KT 5SM -SN BR BKN014 M17/M19 A3036 RMK T11701190 MADISHF
ROC,2018-01-01 00:30,-77.6767,43.1167,M,M,M,270.00,6.00,M,30.39,M,1.50,M,OVC,M,M,M,1200.00,M,M,M,-SN BR,M,M,M,M,KROC 010030Z AUTO 27006KT 1 1/2SM -SN BR OVC012 M14/M17 A3039 RMK T11401170 MADISHF
BUF,2018-01-01 00:30,-78.7358,42.9408,M,M,M,250.00,5.00,M,30.39,M,10.00,M,FEW,M,M,M,4100.00,M,M,M,M,M,M,M,M,KBUF 010030Z AUTO 25005KT 10SM FEW041 M16/M19 A3039 RMK T11601190 MADISHF
DSV,2018-01-01 00:30,-77.7130,42.5709,M,M,M,0.00,0.00,M,30.38,M,10.00,M,SCT,M,M,M,4200.00,M,M,M,M,M,M,M,M,KDSV 010030Z AUTO 00000KT 10SM SCT042 M17/M21 A3038 RMK T11701210 MADISHF
ART,2018-01-01 00:30,-76.0262,43.9888,M,M,M,110.00,3.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010030Z AUTO 11003KT 10SM CLR M29/M31 A3039 RMK T12901310 MADISHF
FZY,2018-01-01 00:31,-76.3847,43.3497,1.90,-2.00,83.28,90.00,4.00,T,30.36,M,5.00,M,BKN,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,-7.73,KFZY 010031Z AUTO 09004KT 5SM -SN BR BKN014 M17/M19 A3036 RMK AO2 SNB25 P0000 T11671189
IAG,2018-01-01 00:35,-78.9462,43.1073,M,M,M,240.00,7.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3600.00,4600.00,M,M,M,M,M,M,M,KIAG 010035Z AUTO 24007KT 10SM BKN036 OVC046 M14/M19 A3040 RMK T11401190 MADISHF
DSV,2018-01-01 00:35,-77.7130,42.5709,M,M,M,160.00,3.00,M,30.38,M,10.00,M,SCT,M,M,M,4200.00,M,M,M,M,M,M,M,M,KDSV 010035Z AUTO 16003KT 10SM SCT042 M18/M21 A3038 RMK T11801210 MADISHF
ART,2018-01-01 00:35,-76.0262,43.9888,M,M,M,0.00,0.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010035Z AUTO 00000KT 10SM CLR A3039 RMK MADISHF
SDC,2018-01-01 00:35,-77.1195,43.2346,6.80,5.00,92.12,250.00,6.00,0.00,30.38,M,2.00,M,SCT,OVC,M,M,400.00,1000.00,M,M,-SN,M,M,M,-4.82,KSDC 010035Z AUTO 25006KT 2SM -SN SCT004 OVC010 M14/M15 A3038 RMK AO2
ROC,2018-01-01 00:35,-77.6767,43.1167,M,M,M,270.00,7.00,M,30.38,M,1.50,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KROC 010035Z AUTO 27007KT 1 1/2SM -SN BR OVC014 M14/M16 A3038 RMK T11401160 MADISHF
FZY,2018-01-01 00:35,-76.3847,43.3497,M,M,M,90.00,4.00,M,30.35,M,4.00,M,BKN,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KFZY 010035Z AUTO 09004KT 4SM -SN BR BKN014 M17/M19 A3035 RMK T11701190 MADISHF
BUF,2018-01-01 00:35,-78.7358,42.9408,M,M,M,250.00,5.00,M,30.39,M,10.00,M,SCT,M,M,M,4100.00,M,M,M,M,M,M,M,M,KBUF 010035Z AUTO 25005KT 10SM SCT041 M16/M19 A3039 RMK T11601190 MADISHF
DKK,2018-01-01 00:35,-79.2720,42.4933,M,M,M,320.00,8.00,M,30.40,M,10.00,M,BKN,BKN,OVC,M,2900.00,3399.00,4700.00,M,M,M,M,M,M,KDKK 010035Z AUTO 32008KT 10SM BKN029 BKN033 OVC047 M12/M17 A3040 RMK T11201170 MADISHF
DKK,2018-01-01 00:40,-79.2720,42.4933,M,M,M,330.00,10.00,M,30.40,M,10.00,15.00,BKN,BKN,OVC,M,2800.00,3600.00,4700.00,M,M,M,M,M,M,KDKK 010040Z AUTO 33010G15KT 10SM BKN028 BKN036 OVC047 M12/M17 A3040 RMK T11201170 MADISHF
IAG,2018-01-01 00:40,-78.9462,43.1073,M,M,M,240.00,6.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3600.00,4600.00,M,M,M,M,M,M,M,KIAG 010040Z AUTO 24006KT 10SM BKN036 OVC046 M16/M20 A3040 RMK T11601200 MADISHF
DSV,2018-01-01 00:40,-77.7130,42.5709,M,M,M,170.00,4.00,M,30.38,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,M,M,M,M,KDSV 010040Z AUTO 17004KT 10SM FEW042 M18/M21 A3038 RMK T11801210 MADISHF
BUF,2018-01-01 00:40,-78.7358,42.9408,M,M,M,250.00,6.00,M,30.39,M,10.00,M,FEW,M,M,M,4100.00,M,M,M,M,M,M,M,M,KBUF 010040Z AUTO 25006KT 10SM FEW041 M16/M19 A3039 RMK T11601190 MADISHF
ROC,2018-01-01 00:40,-77.6767,43.1167,M,M,M,270.00,7.00,M,30.38,M,1.50,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KROC 010040Z AUTO 27007KT 1 1/2SM -SN BR OVC014 M14/M16 A3038 RMK T11401160 MADISHF
FZY,2018-01-01 00:40,-76.3847,43.3497,M,M,M,0.00,0.00,M,30.36,M,4.00,M,BKN,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KFZY 010040Z AUTO 00000KT 4SM -SN BR BKN014 M17/M19 A3036 RMK T11701190 MADISHF
ART,2018-01-01 00:45,-76.0262,43.9888,M,M,M,0.00,0.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010045Z AUTO 00000KT 10SM CLR M26/M28 A3039 RMK T12601280 MADISHF
ROC,2018-01-01 00:45,-77.6767,43.1167,M,M,M,270.00,7.00,M,30.38,M,1.50,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KROC 010045Z AUTO 27007KT 1 1/2SM -SN BR OVC014 M14/M16 A3038 RMK T11401160 MADISHF
IAG,2018-01-01 00:45,-78.9462,43.1073,M,M,M,240.00,9.00,M,30.39,M,10.00,M,BKN,OVC,M,M,3600.00,4600.00,M,M,M,M,M,M,M,KIAG 010045Z AUTO 24009KT 10SM BKN036 OVC046 M14/M19 A3039 RMK T11401190 MADISHF
FZY,2018-01-01 00:45,-76.3847,43.3497,M,M,M,110.00,3.00,M,30.36,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KFZY 010045Z AUTO 11003KT 5SM -SN BR OVC014 M17/M19 A3036 RMK T11701190 MADISHF
DSV,2018-01-01 00:45,-77.7130,42.5709,M,M,M,160.00,4.00,M,30.38,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,M,M,M,M,KDSV 010045Z AUTO 16004KT 10SM FEW042 M18/M21 A3038 RMK T11801210 MADISHF
DKK,2018-01-01 00:45,-79.2720,42.4933,M,M,M,320.00,11.00,M,30.40,M,10.00,M,BKN,OVC,M,M,2800.00,3600.00,M,M,M,M,M,M,M,KDKK 010045Z AUTO 32011KT 10SM BKN028 OVC036 M12/M17 A3040 RMK T11201170 MADISHF
BUF,2018-01-01 00:45,-78.7358,42.9408,M,M,M,240.00,5.00,M,30.39,M,10.00,M,FEW,M,M,M,4100.00,M,M,M,M,M,M,M,M,KBUF 010045Z AUTO 24005KT 10SM FEW041 M16/M19 A3039 RMK T11601190 MADISHF
DSV,2018-01-01 00:50,-77.7130,42.5709,M,M,M,180.00,3.00,M,30.38,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KDSV 010050Z AUTO 18003KT 10SM CLR M18/M21 A3038 RMK T11801210 MADISHF
ROC,2018-01-01 00:50,-77.6767,43.1167,M,M,M,270.00,6.00,M,30.38,M,1.50,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KROC 010050Z AUTO 27006KT 1 1/2SM -SN BR OVC014 M14/M16 A3038 RMK T11401160 MADISHF
FZY,2018-01-01 00:50,-76.3847,43.3497,M,M,M,100.00,3.00,M,30.36,M,5.00,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KFZY 010050Z AUTO 10003KT 5SM -SN BR OVC014 M17/M19 A3036 RMK T11701190 MADISHF
DKK,2018-01-01 00:50,-79.2720,42.4933,M,M,M,330.00,10.00,M,30.40,M,10.00,M,OVC,M,M,M,3300.00,M,M,M,M,M,M,M,M,KDKK 010050Z AUTO 33010KT 10SM OVC033 M12/M17 A3040 RMK T11201170 MADISHF
ART,2018-01-01 00:50,-76.0262,43.9888,M,M,M,0.00,0.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010050Z AUTO 00000KT 10SM CLR M28/M28 A3039 RMK T12801280 MADISHF
IAG,2018-01-01 00:50,-78.9462,43.1073,M,M,M,250.00,9.00,M,30.39,M,10.00,M,BKN,OVC,M,M,3600.00,4600.00,M,M,M,M,M,M,M,KIAG 010050Z AUTO 25009KT 10SM BKN036 OVC046 M14/M19 A3039 RMK T11401190 MADISHF
BUF,2018-01-01 00:50,-78.7358,42.9408,M,M,M,240.00,5.00,M,30.39,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,M,M,M,M,KBUF 010050Z AUTO 24005KT 10SM FEW042 M16/M19 A3039 RMK T11601190 MADISHF
DKK,2018-01-01 00:53,-79.2720,42.4933,10.90,1.90,66.41,330.00,9.00,0.00,30.40,1031.10,10.00,M,BKN,OVC,M,M,3000.00,3500.00,M,M,M,M,M,M,-2.72,KDKK 010053Z AUTO 33009KT 10SM BKN030 OVC035 M12/M17 A3040 RMK AO2 SLP311 T11171167
IAG,2018-01-01 00:53,-78.9462,43.1073,6.10,-2.90,65.77,250.00,8.00,0.00,30.39,1032.00,10.00,M,BKN,OVC,M,M,3600.00,4600.00,M,M,M,M,M,M,-7.79,KIAG 010053Z 25008KT 10SM BKN036 OVC046 M14/M19 A3039 RMK AO2 SLP320 T11441194
DSV,2018-01-01 00:54,-77.7130,42.5709,0.00,-5.10,78.48,190.00,3.00,0.00,30.38,1031.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,-7.89,KDSV 010054Z AUTO 19003KT 10SM CLR M18/M21 A3038 RMK AO2 SLP314 T11781206
ROC,2018-01-01 00:54,-77.6767,43.1167,6.10,3.00,86.74,270.00,7.00,T,30.38,1030.70,1.50,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,-6.79,KROC 010054Z 27007KT 1 1/2SM -SN BR OVC014 M14/M16 A3038 RMK AO2 SLP307 P0000 T11441161 $
BUF,2018-01-01 00:54,-78.7358,42.9408,3.90,-2.00,75.92,250.00,5.00,0.00,30.39,1031.00,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,M,M,M,-6.98,KBUF 010054Z 25005KT 10SM FEW042 M16/M19 A3039 RMK AO2 SLP310 T11561189 $
FZY,2018-01-01 00:54,-76.3847,43.3497,1.00,-2.90,83.21,100.00,3.00,T,30.36,1029.40,4.00,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,-6.75,KFZY 010054Z AUTO 10003KT 4SM -SN BR OVC014 M17/M19 A3036 RMK AO2 SNB25 SLP294 P0000 T11721194
ART,2018-01-01 00:55,-76.0262,43.9888,M,M,M,0.00,0.00,M,30.39,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KART 010055Z AUTO 00000KT 10SM CLR A3039 RMK MADISHF
FZY,2018-01-01 00:55,-76.3847,43.3497,M,M,M,90.00,4.00,M,30.36,M,3.50,M,OVC,M,M,M,1400.00,M,M,M,-SN BR,M,M,M,M,KFZY 010055Z AUTO 09004KT 3SM -SN BR OVC014 M17/M19 A3036 RMK T11701190 MADISHF
ROC,2018-01-01 00:55,-77.6767,43.1167,M,M,M,270.00,7.00,M,30.38,M,2.00,M,OVC,M,M,M,2100.00,M,M,M,-SN BR,M,M,M,M,KROC 010055Z AUTO 27007KT 2SM -SN BR OVC021 M14/M16 A3038 RMK T11401160 MADISHF
SDC,2018-01-01 00:55,-77.1195,43.2346,8.60,5.00,84.93,250.00,6.00,0.00,30.38,M,1.00,M,BKN,OVC,M,M,400.00,1000.00,M,M,-SN,M,M,M,-2.65,KSDC 010055Z AUTO 25006KT 1SM -SN BKN004 OVC010 M13/M15 A3038 RMK AO2
DKK,2018-01-01 00:55,-79.2720,42.4933,M,M,M,310.00,10.00,M,30.40,M,10.00,M,BKN,OVC,M,M,3000.00,3500.00,M,M,M,M,M,M,M,KDKK 010055Z AUTO 31010KT 10SM BKN030 OVC035 M12/M17 A3040 RMK T11201170 MADISHF
DSV,2018-01-01 00:55,-77.7130,42.5709,M,M,M,170.00,3.00,M,30.38,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,KDSV 010055Z AUTO 17003KT 10SM CLR M18/M21 A3038 RMK T11801210 MADISHF
BUF,2018-01-01 00:55,-78.7358,42.9408,M,M,M,250.00,5.00,M,30.39,M,10.00,M,FEW,M,M,M,4200.00,M,M,M,M,M,M,M,M,KBUF 010055Z AUTO 25005KT 10SM FEW042 M16/M19 A3039 RMK T11601190 MADISHF
IAG,2018-01-01 00:55,-78.9462,43.1073,M,M,M,250.00,8.00,M,30.39,M,10.00,M,BKN,OVC,M,M,3600.00,4600.00,M,M,M,M,M,M,M,KIAG 010055Z AUTO 25008KT 10SM BKN036 OVC046 M14/M19 A3039 RMK T11401190 MADISHF
ART,2018-01-01 00:56,-76.0262,43.9888,-20.00,-23.10,85.03,90.00,3.00,0.00,30.39,1031.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,-30.76,KART 010056Z AUTO 09003KT 10SM CLR M29/M31 A3039 RMK AO2 SLP312 T12891306
